Area,Course_Number,Course_Title,Course_Hours,Hour_Type,Course_Note
"1","Header"," "," "," ","AREA I - WRITTEN COMPOSITION (6 SH)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
"1","Body_Note"," "," "," ","All students are required to complete a two-course sequence in Written        Composition.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
"1","ENG 101             ","Written Composition I                             ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"1","ENG 102             ","Written Composition II                            ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","Header"," "," "," ","AREA II - HUMANITIES AND FINE ARTS (12 SH)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
"2","Body_Note"," "," "," ","Choose at least 3 SH in literature from the approved list below:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ENG 251             ","American Literature I                             ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ENG 252             ","American Literature II                            ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ENG 261             ","English Literature I                              ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ENG 262             ","English Literature II                             ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ENG 271             ","World Literature I                                ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ENG 272             ","World Literature II                               ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","Body_Note"," "," "," ","Students must complete a 3 SH course in the ARTS:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
"2","ART 100             ","Art Appreciation (A)                              ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ART 203             ","Art History I (A)                                 ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","ART 204             ","Art History II (A)                                ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","DNC 101             ","Dance Appreciation (A)                            ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","HUM 130             ","Mankind and His Art (A)                           ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","IDH 110             ","Renaissance to Romantic Rebellion (A)             ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","MUS 101             ","Music Appreciation (A)                            ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","THR 120             ","Theatre Appreciation (A)                          ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","THR 126             ","Introduction to Theatre (A)                       ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","Body_Note"," "," "," ","Students must complete one of the following courses in Public Speaking (3 SH):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
"2","SPH 106             ","Fundamentals of Oral Communication                ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","SPH 107             ","Fundamentals of Public Speaking                   ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","Body_Note"," "," "," ","Students must complete one of the following Humanities courses (3 SH):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
"2","IDS 102             ","Ethics                                            ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","PHL 106             ","Introduction to Philosophy                        ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"2","PHL 206             ","Ethics and Society                                ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","Header"," "," "," ","AREA III - NATURAL SCIENCES AND MATHEMATICS (11 SH)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
"3","Body_Note"," "," "," ","Students must complete the following Biology sequence (8 SH):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
"3","BIO 103             ","Principles of Biology I                           ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","BIO 104             ","Principles of Biology II                          ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","Body_Note"," "," "," ","Select 3 SH from the following list of courses:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
"3","MTH 113             ","Precalculus Trigonometry                          ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","MTH 115             ","Precalculus Algebra & Trigonometry                ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","MTH 120             ","Calculus and Its Applications                     ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","MTH 125             ","Calculus I                                        ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","MTH 126             ","Calculus II                                       ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","MTH 227             ","Calculus III                                      ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","MTH 237             ","Linear Algebra                                    ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"3","MTH 238             ","Applied Differential Equations I                  ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","Header"," "," "," ","AREA IV - HISTORY, SOCIAL, AND BEHAVIORAL SCIENCES (12 SH)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
"4","Body_Note"," "," "," ","Students must complete a 6 SH sequence in History:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
"4","HIS 101             ","History of Western Civilization I                 ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","HIS 102             ","History of Western Civilization II                ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","HIS 121             ","World History I                                   ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","HIS 122             ","World History II                                  ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","HIS 201             ","United States History I                           ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","HIS 202             ","United States History II                          ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","Body_Note"," "," "," ","Students must complete a course in Microeconomics (3 SH):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
"4","ECO 232             ","Principles of Microeconomics                      ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","Body_Note"," "," "," ","Students must complete one of the following Social Science courses (3 SH):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
"4","ANT 200             ","Introduction to Anthropology                      ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","ANT 220             ","Cultural Anthropology                             ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","GEO 100             ","World Regional Geography                          ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","PSY 200             ","General Psychology                                ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"4","SOC 200             ","Introduction to Sociology                         ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","Header"," "," "," ","AREA V - PRE-PROFESSIONAL, MAJOR, AND ELECTIVE COURSES (19-23 SH)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
"5","Body_Note"," "," "," ","Students may complete 19 SH in Area V.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
"5","Body_Note"," "," "," ","Select from the following:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
"5","BUS 260             ","Statistical Data Analysis                         ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","BUS 271             ","Business Statistics I                             ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","CHM 111             ","College Chemistry I                               ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","MTH 265             ","Elementary Statistics                             ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","PSY 260             ","Statistics for the Social Sciences                ","03","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","Body_Note"," "," "," ","Students may select one of the following (3 SH):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","AGP 130             ","Poultry Production                                ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","AGR 200             ","Introduction to Animal Dairy Science              ","04","SH","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
"5","Body_Note"," "," "," ","Students may select 6 SH of free electives taken from courses in Area II-IV   not already taken.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
